time_ms,theta_ref,theta,control_voltage,motor_voltage
555.0,-0.1,-0.1027,-0.03,-0.4
560.0,-0.1,-0.1041,-0.04,-0.41
565.0,-0.1,-0.1077,-0.08,-0.45
570.0,-0.1,-0.0998,0.0,0.34
575.0,-0.1,-0.0929,0.07,0.41
580.0,-0.1,-0.0987,0.01,0.35
585.0,-0.1,-0.0976,0.02,0.36
590.0,-0.1,-0.0943,0.06,0.4
595.0,-0.1,-0.0965,0.04,0.38
600.0,-0.1,-0.1019,-0.02,-0.39
605.0,-0.1,-0.1048,-0.05,-0.42
610.0,-0.1,-0.1019,-0.02,-0.39
615.0,-0.1,-0.1041,-0.04,-0.41
620.0,-0.1,-0.0994,0.01,0.35
625.0,-0.1,-0.1005,-0.0,-0.37
630.0,-0.1,-0.1048,-0.05,-0.42
635.0,-0.1,-0.0961,0.04,0.38
640.0,-0.1,-0.0874,0.13,0.47
645.0,-0.1,-0.0983,0.02,0.36
650.0,-0.1,-0.1005,-0.0,-0.37
655.0,-0.1,-0.0994,0.01,0.35
660.0,-0.1,-0.0925,0.07,0.41
665.0,-0.1,-0.0925,0.07,0.41
670.0,-0.1,-0.0976,0.02,0.36
675.0,-0.1,-0.1085,-0.08,-0.45
680.0,-0.1,-0.1041,-0.04,-0.41
685.0,-0.1,-0.1063,-0.06,-0.43
690.0,-0.1,-0.0943,0.06,0.4
695.0,-0.1,-0.1038,-0.04,-0.41
700.0,-0.1,-0.1048,-0.05,-0.42
705.0,-0.1,-0.1019,-0.02,-0.39
710.0,-0.1,-0.1016,-0.02,-0.39
715.0,-0.1,-0.095,0.05,0.39
720.0,-0.1,-0.0987,0.01,0.35
725.0,-0.1,-0.0976,0.02,0.36
730.0,-0.1,-0.0976,0.02,0.36
735.0,-0.1,-0.0994,0.01,0.35
740.0,-0.1,-0.0976,0.02,0.36
745.0,-0.1,-0.099,0.01,0.35
750.0,-0.1,-0.1041,-0.04,-0.41
755.0,-0.1,-0.1059,-0.06,-0.43
760.0,-0.1,-0.1027,-0.03,-0.4
765.0,-0.1,-0.1128,-0.13,-0.5
770.0,-0.1,-0.1009,-0.01,-0.38
775.0,-0.1,-0.0983,0.02,0.36
780.0,-0.1,-0.1019,-0.02,-0.39
785.0,-0.1,-0.0998,0.0,0.34
790.0,-0.1,-0.1034,-0.03,-0.4
795.0,-0.1,-0.1019,-0.02,-0.39
800.0,-0.1,-0.098,0.02,0.36
805.0,-0.1,-0.0987,0.01,0.35
810.0,-0.1,-0.0994,0.01,0.35
815.0,-0.1,-0.1056,-0.06,-0.43
820.0,-0.1,-0.0918,0.08,0.42
825.0,-0.1,-0.1001,-0.0,-0.37
830.0,-0.1,-0.1038,-0.04,-0.41
835.0,-0.1,-0.098,0.02,0.36
840.0,-0.1,-0.0987,0.01,0.35
845.0,-0.1,-0.0958,0.04,0.38
850.0,-0.1,-0.0983,0.02,0.36
855.0,-0.1,-0.099,0.01,0.35
860.0,-0.1,-0.1041,-0.04,-0.41
865.0,-0.1,-0.095,0.05,0.39
870.0,-0.1,-0.1016,-0.02,-0.39
875.0,-0.1,-0.1012,-0.01,-0.38
880.0,-0.1,-0.1019,-0.02,-0.39
885.0,-0.1,-0.0983,0.02,0.36
890.0,-0.1,-0.1012,-0.01,-0.38
895.0,-0.1,-0.1034,-0.03,-0.4
900.0,-0.1,-0.1023,-0.02,-0.39
905.0,-0.1,-0.0961,0.04,0.38
910.0,-0.1,-0.099,0.01,0.35
915.0,-0.1,-0.0932,0.07,0.41
920.0,-0.1,-0.0969,0.03,0.37
925.0,-0.1,-0.0976,0.02,0.36
930.0,-0.1,-0.0983,0.02,0.36
935.0,-0.1,-0.1009,-0.01,-0.38
940.0,-0.1,-0.0947,0.05,0.39
945.0,-0.1,-0.099,0.01,0.35
950.0,-0.1,-0.1034,-0.03,-0.4
955.0,-0.1,-0.1059,-0.06,-0.43
960.0,-0.1,-0.103,-0.03,-0.4
965.0,-0.1,-0.0932,0.07,0.41
970.0,-0.1,-0.1009,-0.01,-0.38
975.0,-0.1,-0.0994,0.01,0.35
980.0,-0.1,-0.1027,-0.03,-0.4
985.0,-0.1,-0.1034,-0.03,-0.4
990.0,-0.1,-0.1099,-0.1,-0.47
